"id","keywords_SplitResultList"
8012,"14536,crime"
8012,"14819,violence"
8012,"14964,drug"
8012,"33879,producer"
8012,"159608,con"
1710,"796,police brutality"
1710,"2800,psychology"
1710,"4668,police operation"
1710,"5430,police protection"
1710,"10714,serial killer"
1710,"11268,psychologist"
1710,"13001,cowardliness"
9691,"271,competition"
9691,"441,assassination"
9691,"591,cia"
9691,"974,bank"
9691,"977,cat"
9691,"1666,mexican standoff"
9691,"2350,seattle"
9691,"2708,hitman"
9691,"3045,mission of murder"
9691,"3979,hidden camera"
9691,"9823,rivalry"
9691,"10084,rescue"
9691,"10950,shootout"
9691,"11148,police chase"
9691,"12355,sniper rifle"
9691,"18107,silencer"
9691,"33456,double cross"
9691,"167861,caribbean"
9691,"178929,detroit michigan"
12665,"7345,dead animal"
12665,"11325,shot to death"
12665,"18068,teenage boy"
12665,"18320,held at gunpoint"
12665,"41355,teacher student relationship"
12665,"163531,albino"
12665,"163533,fainting"
12665,"163534,jacobs ladder"
12665,"163540,christ allegory"
12665,"163543,psionic power"
12665,"163545,healing power"
12665,"163552,looking pale"
12665,"163553,flickering light"
12665,"163558,extrasensory perception"
451,"30,individual"
451,"549,prostitute"
451,"567,alcohol"
451,"585,casino"
451,"699,love at first sight"
451,"725,lovesickness"
451,"887,film producer"
451,"888,screenwriter"
451,"922,hotel room"
451,"3737,dying and death"
451,"3927,rage and hate"
451,"6059,unsociability"
451,"7464,alcoholism"
451,"12670,los angeles"
451,"15237,alcohol abuse"
451,"155793,attempted suicide"
16420,"497,shakespeare"
16420,"931,jealousy"
16420,"9713,friends"
16420,"17982,moor"
9263,"1228,1970s"
9263,"5248,female friendship"
9263,"10683,coming of age"
9263,"170521,gynecologist"
9263,"170533,photocopier"
9263,"170539,truth or dare"
9263,"187056,woman director"
17015,"1316,captain"
17015,"33384,napoleonic wars"
17015,"33386,old flame"
17015,"33388,admiral"
902,"402,clone"
902,"1566,dream"
902,"2041,island"
902,"4484,eye"
902,"4565,dystopia"
902,"4995,aging"
902,"6054,friendship"
902,"10084,rescue"
902,"10103,children"
902,"14659,girl"
902,"157955,childhood"
37557,"964,servant"
37557,"2311,cabaret"
37557,"2682,shanghai"
37557,"2992,diva"
37557,"6464,uncle"
37557,"11869,mistress"
37557,"41277,umbrella"
9909,"897,rap music"
9909,"3436,karate"
9909,"6270,high school"
9909,"6610,naval officer"
9909,"10508,teacher"
9909,"155582,amusement park"
63,"222,schizophrenia"
63,"276,philadelphia"
63,"277,cassandra syndrom"
63,"278,stockholm syndrome"
63,"4379,time travel"
63,"4458,post-apocalyptic"
63,"4565,dystopia"
63,"14675,lethal virus"
63,"15149,monkey"
63,"162801,subterranean"
78802,"[]"
9598,"3020,sheep"
9598,"4931,pig"
9598,"5608,affection"
9598,"8082,piglet"
9598,"11115,heroism"
9598,"11477,talking animal"
9598,"18013,separation"
9598,"33671,german shepherd"
9598,"158019,grandson"
9598,"206052,talking pig"
47018,"392,england"
47018,"437,painter"
47018,"8997,conscientious objector"
47018,"10183,independent film"
47018,"13065,soldier"
687,"378,prison"
687,"570,rape"
687,"1952,socially deprived family"
687,"2060,penalty"
687,"2122,death penalty"
687,"2300,despair"
687,"2501,death row"
687,"2538,begnadigung"
687,"2726,therapist"
687,"2796,self-discovery"
687,"2885,prison cell"
687,"3012,court case"
687,"3437,death sentence"
687,"3440,doomed man"
687,"3441,sentence"
687,"3442,lethal injection"
687,"3446,forgiveness"
687,"3447,charity"
687,"3448,mercy petition"
687,"3927,rage and hate"
687,"6059,unsociability"
687,"6145,right and justice"
687,"6148,court"
687,"11263,electric chair"
687,"13001,cowardliness"
139405,"[]"
33689,"13014,orphan"
33689,"204353,identical twin"
9603,"1525,puberty"
9603,"6270,high school"
9603,"6664,make a match"
9603,"7208,spoiled child"
9603,"10199,gay interest"
9603,"11933,conflict"
9603,"187056,woman director"
34615,"3644,south africa"
31174,"392,england"
31174,"497,shakespeare"
31174,"1930,kidnapping"
31174,"9826,murder"
31174,"13084,king"
11443,"10594,money"
11443,"11254,loss of virginity"
11443,"159640,hiding in a dumpster"
11443,"159643,mercy killing"
11443,"159660,armored truck"
11443,"159661,crushed by a car"
35196,"931,jealousy"
35196,"1279,medicine"
35196,"2098,fountain"
35196,"6148,court"
35196,"10329,wealth"
35196,"44448,spaniel"
35196,"44449,gloves"
9312,"779,martial arts"
9312,"1299,monster"
9312,"2041,island"
9312,"10292,gore"
9312,"10821,sorcerer"
9312,"12380,tournament"
9312,"14819,violence"
9312,"41645,based on video game"
9312,"188955,hand to hand combat"
577,"596,adultery"
577,"1442,winter"
577,"1523,obsession"
577,"2136,television"
577,"6018,new hampshire"
577,"208477,narcissistic personality disorder"
11861,"1334,wedding vows"
11861,"1459,marriage proposal"
11861,"2587,married couple"
11861,"5773,monogamy"
11861,"5999,advice"
11861,"6038,marriage"
11861,"9470,quilt"
11861,"9673,love"
11861,"33694,family holiday"
11861,"34094,extramarital affair"
11861,"164039,grandmother"
11861,"187056,woman director"
807,"476,self-fulfilling prophecy"
807,"703,detective"
807,"1470,s.w.a.t."
807,"2231,drug dealer"
807,"3597,evisceration"
807,"3857,lust and impulsiveness"
807,"3927,rage and hate"
807,"3932,pride and vanity"
807,"4138,immoderateness"
807,"4142,insomnia"
807,"5340,investigation"
807,"6125,pension"
807,"6149,police"
807,"10714,serial killer"
10530,"1463,culture clash"
10530,"3591,settler"
10530,"3691,forbidden love"
10530,"4090,colony"
10530,"4344,musical"
10530,"4542,gold rush"
10530,"7376,princess"
10530,"9840,romance"
10530,"10322,native american"
10530,"10336,animation"
10530,"160977,virginia"
10530,"165086,star crossed lovers"
10530,"173808,reference to pizarro"
10530,"173811,jamestown virginia"
10530,"173815,pug dog"
10530,"173823,cross cultural relationship"
10530,"173824,musket"
10530,"173825,animate tree"
10530,"180217,indian chief"
10530,"185343,based on myths or folklore"
10530,"207941,17th century"
10530,"208426,shamanism"
10530,"225547,songs"
10530,"230456,indians vs. settlers"
10530,"234183,animal sidekick"
10530,"234184,powhatan"
10530,"234185,land claim"
8391,"1992,professor"
8391,"158718,lgbt"
8391,"187056,woman director"
629,"3703,law"
629,"5493,relatives"
629,"14604,theft"
629,"15009,criminal"
629,"18023,criminal mastermind"
629,"18024,hungarian"
629,"18027,sibling"
117164,"[]"
11448,"549,prostitute"
11448,"2393,adoption"
11448,"4130,adoptive father"
11448,"5885,childlessness"
11448,"6230,looking for  birth parents"
11448,"8018,adoptive mother"
11448,"10183,independent film"
11448,"33625,illegal prostitution"
11448,"208349,child"
49133,"10183,independent film"
26441,"6075,sport"
26441,"9963,kids and family"
26441,"13042,soccer"
26441,"187056,woman director"
97406,"567,alcohol"
97406,"2679,artist"
97406,"6027,music"
97406,"14964,drug"
97406,"33624,band"
124057,"[]"
9089,"2672,baltimore"
9089,"4543,thanksgiving"
9089,"7629,family clan"
9089,"155294,family conflict"
9089,"171760,generations conflict"
9089,"187056,woman director"
11010,"2041,island"
11010,"3344,letter"
11010,"4461,postman"
11010,"5420,fisherman"
11010,"5933,poet"
99040,"[]"
11359,"1990,cupboard"
11359,"6186,games"
11359,"6300,puppet"
11359,"33465,parallel world"
11359,"187065,toy comes to life"
17182,"570,rape"
17182,"1419,gun"
17182,"2801,self-defense"
17182,"204959,grieving parents"
2054,"1233,composer"
2054,"1310,mentor"
2054,"1635,deaf-mute"
2054,"4344,musical"
2054,"4488,apprentice"
2054,"5289,private life"
2054,"6027,music"
2054,"158558,disabled"
10607,"248,date"
10607,"398,slang"
10607,"898,hip-hop"
10607,"4438,cousin"
10607,"9755,parody"
10607,"10700,hood"
10607,"10726,gang"
10607,"11514,social satire"
10607,"12425,racism"
10607,"13142,gangster"
19760,"2041,island"
19760,"5918,painting"
19760,"9727,thief"
19760,"167868,seasickness"
9536,"4166,biotope"
9536,"4459,vegetarian"
9536,"6305,pollution"
11525,"2157,hacker"
11525,"4563,virtual reality"
11525,"6104,computer"
11525,"9725,sword fight"
40628,"[]"
4482,"128,love triangle"
4482,"2335,southern france"
4482,"2918,estate agent"
4482,"3190,menage a trois"
4482,"4580,van"
4482,"187056,woman director"
10634,"897,rap music"
10634,"970,parent child relationship"
10634,"4562,rapper"
10634,"8438,job"
755,"246,dancing"
755,"380,brother brother relationship"
755,"459,sexual obsession"
755,"797,showdown"
755,"798,sheriff"
755,"1664,eroticism"
755,"2483,nudity"
755,"2492,bank robber"
755,"3133,vampire"
755,"3649,holy water"
755,"4063,siege"
755,"6593,stripper"
755,"10093,priest"
755,"14601,explosion"
755,"14687,extreme violence"
755,"15363,bank robbery"
755,"18072,preacher"
755,"18233,hostage situation"
755,"41380,crucifix"
755,"163795,recreational vehicle"
755,"167664,blood spurting"
755,"168152,convenience store"
755,"174878,female vampire"
755,"188711,mexican american border"
755,"191441,nightclub entertainer"
755,"227811,boa constrictor"
11859,"258,bomb"
11859,"416,miami"
11859,"572,sex"
11859,"703,detective"
11859,"772,handcuffs"
11859,"818,based on novel"
11859,"1562,hostage"
11859,"1812,fbi"
11859,"1930,kidnapping"
11859,"2808,russian"
11859,"3278,kgb"
11859,"3713,chase"
11859,"4426,sadism"
11859,"4530,parking garage"
11859,"4735,pizza"
11859,"5430,police protection"
11859,"6259,psychopath"
11859,"9714,remake"
11859,"9844,car crash"
11859,"10410,conspiracy"
11859,"10562,on the run"
11859,"10718,fugitive"
11859,"10950,shootout"
11859,"12371,gunfight"
11859,"13125,sadist"
11859,"14967,foot chase"
11859,"15167,police detective"
11859,"15321,police station"
11859,"15483,car chase"
11859,"18320,held at gunpoint"
11859,"18525,fbi agent"
11859,"33456,double cross"
11859,"34117,cult film"
11859,"155555,computer hacker"
11859,"156650,machine gun"
11859,"156788,swat team"
11859,"156816,grenade launcher"
11859,"158247,underwater scene"
11859,"176802,rogue agent"
11859,"181145,woman lawyer"
11859,"188294,damsel in distress"
28387,"3616,college"
48750,"90,paris"
48750,"745,nun"
48750,"2792,boxer"
48750,"10909,lawyer"
48750,"11508,jewish"
20927,"2778,florist"
20927,"10235,family relationships"
36929,"10624,bully"
9102,"312,man vs machine"
9102,"10158,alien planet"
9102,"15354,struggle for survival"
124626,"[]"
27526,"6381,loss of daughter"
27526,"6440,hit-and-run driving"
27526,"9748,revenge"
27526,"9937,suspense"
27526,"10183,independent film"
27526,"10614,tragedy"
9623,"1417,jurors"
9623,"1936,blackmail"
9623,"3012,court case"
9623,"5153,son"
9623,"11038,trial"
9623,"33519,courtroom"
46785,"1357,fish"
46785,"10594,money"
46785,"33648,celebration"
46785,"40846,goldfish"
400,"494,father son relationship"
400,"801,bounty hunter"
400,"1422,boat"
400,"1587,way of life"
400,"1909,coffin"
400,"1977,denver"
400,"2022,godmother"
400,"2340,paranoia"
400,"2708,hitman"
400,"6054,friendship"
400,"6259,psychopath"
400,"9748,revenge"
400,"9826,murder"
400,"10183,independent film"
400,"10391,mafia"
400,"10738,diner"
400,"11221,blood"
400,"13142,gangster"
400,"14819,violence"
400,"33625,illegal prostitution"
400,"34094,extramarital affair"
880,"236,suicide"
880,"240,underdog"
880,"460,free love"
880,"490,philosophy"
880,"570,rape"
880,"791,mentally disabled"
880,"936,loss of mother"
880,"1842,village life"
880,"1956,world war ii"
880,"2383,feminism"
880,"3154,indian summer"
880,"3371,family history"
880,"4129,widow"
880,"4402,peasant"
880,"5331,village"
880,"6009,mathematics"
880,"6089,freedom"
880,"6145,right and justice"
880,"9457,single"
880,"10180,homosexuality"
880,"10707,mother daughter relationship"
880,"11925,domestic violence"
880,"13160,university"
880,"187056,woman director"
146599,"6984,racial segregation"
146599,"10235,family relationships"
146599,"11004,rural setting"
146599,"12532,african american"
188588,"[]"
8447,"4034,class society"
8447,"7579,rich woman - poor man"
8447,"14760,scientist"
8447,"182662,naturalist"
8447,"208526,insect"
10534,"2082,sailing trip"
10534,"2913,diary"
10534,"3180,sailing"
10534,"10349,survival"
10534,"10683,coming of age"
10534,"18068,teenage boy"
10534,"46962,discipline"
10534,"167836,squall"
10534,"167837,sail"
10534,"167843,ship captain"
10534,"167861,caribbean"
10534,"167863,male bonding"
10534,"167868,seasickness"
10534,"168683,storm at sea"
10534,"208992,1960s"
17414,"5306,boss"
17414,"5572,fistfight"
17414,"10624,bully"
17414,"14762,orangutan"
17414,"158039,hotel manager"
13997,"169078,nitrous oxide"
13997,"169079,candid camera"
13997,"169085,double act"
13997,"169086,political satire"
13997,"169097,crooked politician"
13997,"187056,woman director"
2086,"441,assassination"
2086,"477,train station"
2086,"6078,politics"
2086,"12670,los angeles"
61548,"[]"
9095,"964,servant"
9095,"1299,monster"
9095,"10124,laboratory"
9095,"156033,jekyll and hyde"
9095,"191009,housemaid"
9095,"207928,19th century"
12158,"3133,vampire"
12158,"3630,half vampire"
9283,"155808,hometown"
9208,"720,helicopter"
9208,"1261,river"
9208,"1316,captain"
9208,"1353,underground"
9208,"1666,mexican standoff"
9208,"1825,countdown"
9208,"3203,pilot"
9208,"5572,fistfight"
9208,"8122,canyon"
9208,"9052,major"
9208,"10085,betrayal"
9208,"12371,gunfight"
9208,"13008,train"
9208,"14601,explosion"
9208,"15263,park ranger"
9208,"18034,desert"
9208,"162365,military"
9208,"208547,nuclear device"
9208,"209476,boxing"
9208,"214472,stealth aircraft"
9208,"215861,abandoned mine"
9208,"219869,humvee"
40154,"14531,play"
40154,"185011,hamlet"
40154,"207317,christmas"
40154,"207716,actor"
406,"90,paris"
406,"376,neo-nazi"
406,"379,skinhead"
406,"642,robbery"
406,"796,police brutality"
406,"898,hip-hop"
406,"1419,gun"
406,"1952,socially deprived family"
406,"1974,breakdance"
406,"1975,arabian"
406,"3925,boredom"
406,"9748,revenge"
406,"14632,suburb"
406,"14819,violence"
406,"15090,police officer"
406,"156052,unemployment"
406,"156702,capture"
406,"160910,xenophobia"
45549,"[]"
63076,"2398,narration"
63076,"12396,hollywood"
63076,"13059,prostitution"
11062,"417,corruption"
11062,"1568,undercover"
11062,"1601,war on drugs"
11062,"1919,mayor"
11062,"2231,drug dealer"
11062,"2946,presidential election"
11062,"4654,undercover agent"
11062,"5340,investigation"
11062,"6149,police"
11062,"14964,drug"
13685,"380,brother brother relationship"
13685,"642,robbery"
13685,"1437,burglar"
13685,"2568,language barrier"
13685,"2669,motel"
13685,"10183,independent film"
13685,"10323,psychiatric hospital"
13685,"13097,maid"
13685,"14604,theft"
13685,"15274,nervous breakdown"
13685,"187710,escapade"
13685,"187717,laundry room"
47475,"[]"
2045,"1157,wife husband relationship"
2045,"1706,experiment"
2045,"6149,police"
2045,"9826,murder"
2045,"9937,suspense"
2045,"10937,memory"
2045,"160313,forensic"
2045,"163114,gunman"
2045,"168069,animal experimentation"
9614,"936,loss of mother"
9614,"1872,loss of father"
9614,"2702,golf"
9614,"6075,sport"
9614,"6128,taxes"
688,"455,farewell"
688,"596,adultery"
688,"699,love at first sight"
688,"1003,photographer"
688,"1157,wife husband relationship"
688,"2029,iowa"
688,"2038,love of one's life"
688,"2784,mother role"
688,"3450,bridge"
688,"3451,housewife"
688,"3452,love letter"
688,"4402,peasant"
688,"5809,marriage crisis"
688,"6025,photography"
688,"6059,unsociability"
688,"7879,secret love"
688,"221355,nature documentary"
11907,"530,prophecy"
11907,"3392,voodoo"
11907,"9457,single"
11907,"13072,falling in love"
11907,"187056,woman director"
11907,"196682,rich man"
10874,"2041,island"
10874,"4418,pirate gang"
10874,"6300,puppet"
10874,"6956,treasure hunt"
89333,"[]"
96357,"156121,ex-con"
197,"30,individual"
197,"388,scotland"
197,"930,in love with enemy"
197,"3754,legend"
197,"4097,independence"
197,"6987,idealism"
197,"162845,revolt"
197,"189433,tyranny"
103,"422,vietnam veteran"
103,"444,taxi"
103,"1523,obsession"
103,"2231,drug dealer"
103,"4225,night shift"
103,"7002,vigilante"
103,"7368,alienation"
103,"9622,misanthrope"
103,"11325,shot to death"
103,"33625,illegal prostitution"
103,"167104,loner"
33542,"242,new york"
33542,"779,martial arts"
33542,"1545,supermarket"
33542,"2987,gang war"
33542,"4640,disabled child"
33542,"10726,gang"
33542,"13027,wedding"
33542,"33461,diamond"
33542,"161307,bronx"
33542,"179431,duringcreditsstinger"
43566,"[]"
71754,"6015,mining"
71754,"40897,dance lesson"
71754,"164742,coal mining"
71754,"188645,bagpipes"
43612,"12392,best friend"
43612,"15016,twins"
43612,"17953,country"
43612,"177035,identity swap"
43612,"187056,woman director"
51352,"1755,fascism"
51352,"2450,auschwitz"
51352,"4020,typhus"
51352,"4399,victim"
51352,"4434,interview"
51352,"10360,prejudice"
51352,"11728,burglary"
51352,"15199,rabbit"
16934,"212,london england"
16934,"351,poison"
16934,"9672,based on true story"
16934,"9826,murder"
16934,"10714,serial killer"
16934,"11857,mental institution"
16934,"13130,teenager"
16934,"15106,psychiatrist"
16934,"232550,stepmother"
16934,"234682,social misfit"
10324,"1253,roommate"
10324,"9457,single"
10324,"9673,love"
10324,"10183,independent film"
10324,"12392,best friend"
10324,"158967,brooklyn bridge"
78406,"380,brother brother relationship"
78406,"7375,twin brother"
78406,"10909,lawyer"
78406,"155881,estate"
78406,"208563,santa barbara california"
55731,"1668,hawaii"
55731,"5657,australia"
55731,"10508,teacher"
55731,"33885,car"
55731,"175976,solar power"
32119,"[]"
11066,"2273,role of women"
11066,"2336,ladykiller"
11066,"3836,success"
11066,"6779,ladies' man"
11066,"7769,chefin"
11066,"8642,casanova"
11066,"9094,womanizer"
11104,"1595,ex-girlfriend"
11104,"3391,drug smuggle"
11104,"5490,girlfriend"
11104,"6618,snack bar"
11104,"9840,romance"
11104,"12354,hong kong"
11104,"180294,pineapple"
11104,"185265,expiration date"
11104,"185266,flight attendant"
37975,"[]"
2074,"5498,lsd"
2074,"6230,looking for  birth parents"
2074,"6231,half-brother"
2074,"10183,independent film"
27793,"334,flying"
27793,"2343,magic"
44284,"187056,woman director"
290157,"[]"
110972,"[]"
32622,"10183,independent film"
32622,"187056,woman director"
73067,"5202,boy"
73067,"13028,writer"
73067,"14985,ireland"
73067,"187844,flashback"
73067,"208501,troop ship"
11863,"550,callgirl"
11863,"582,san francisco"
11863,"5340,investigation"
11863,"9826,murder"
55475,"242,new york"
55475,"1625,emigration"
55475,"190019,dominican republic"
124636,"[]"
9101,"339,submarine"
9101,"4410,u.s. navy"
9101,"9789,misfit"
123360,"5565,biography"
5757,"10180,homosexuality"
5757,"10183,independent film"
5757,"11800,mockumentary"
39428,"531,southern usa"
39428,"818,based on novel"
39428,"10229,singer"
39428,"207981,south"
124639,"[]"
9302,"238179,skab under tv"
9302,"238241,foran"
9302,"238242,nederste hylde"
11000,"237,gay"
11000,"824,drag queen"
11000,"1013,homophobia"
11000,"1196,florida"
11000,"1862,coming out"
11000,"2944,senator"
11000,"6083,politician"
11000,"158718,lgbt"
11000,"201554,crossdressing"
11000,"210608,1990s"
249882,"1262,mountain"
249882,"2618,miracle"
249882,"10164,apparition"
249882,"173644,communism"
249882,"178611,virgin mary"
16388,"9673,love"
16388,"10183,independent film"
16388,"12392,best friend"
16388,"188993,true love"
16388,"208725,irish catholic"
9737,"416,miami"
9737,"703,detective"
9737,"772,handcuffs"
9737,"822,airport"
9737,"1666,mexican standoff"
9737,"3688,strip club"
9737,"4009,witness protection"
9737,"9844,car crash"
9737,"11730,internal affairs"
9737,"12371,gunfight"
9737,"14601,explosion"
9737,"14707,brutality"
9737,"14967,foot chase"
9737,"15483,car chase"
9737,"18026,drug lord"
9737,"166856,hangar"
9737,"167114,loose cannon"
9737,"167115,bust"
9737,"167119,reference to skittles"
9737,"167124,black cop"
9737,"167128,badge"
9737,"219404,action hero"
9737,"226376,corrupt cop"
30765,"478,china"
30765,"8531,panda"
30765,"8723,poacher"
10474,"6075,sport"
10474,"6496,basketball"
10474,"6782,addiction"
10474,"9713,friends"
10474,"14964,drug"
22279,"392,england"
22279,"818,based on novel"
22279,"6344,liverpool"
22279,"206032,theatre company"
22279,"207883,1940s"
30157,"10183,independent film"
568,"305,moon"
568,"1196,florida"
568,"1432,nasa"
568,"2345,spaceman"
568,"4776,race against time"
568,"9609,houston"
568,"9672,based on true story"
568,"9882,space"
568,"10084,rescue"
568,"10349,survival"
568,"10617,disaster"
568,"14601,explosion"
568,"14626,astronaut"
568,"156395,imax"
568,"184994,saturn v rocket"
568,"189098,courage"
568,"193479,hypothermia"
568,"226233,apollo program"
568,"226234,cape kennedy"
568,"226235,lunar mission"
568,"226236,spacecraft accident"
11780,"388,scotland"
11780,"5565,biography"
11780,"160279,18th century"
11780,"208070,highlands"
11780,"220446,violent man"
34996,"242,new york"
34996,"490,philosophy"
34996,"3133,vampire"
34996,"11221,blood"
34996,"12105,student"
34996,"14819,violence"
414,"483,riddle"
414,"849,dc comics"
414,"3259,rose"
414,"6969,gotham city"
414,"9104,partner"
414,"9715,superhero"
414,"10486,robin"
414,"10525,broken neck"
414,"11268,psychologist"
414,"14819,violence"
414,"15009,criminal"
414,"33518,district attorney"
414,"33626,millionaire"
414,"33981,falling down stairs"
414,"34156,tied up"
414,"156116,tommy gun"
414,"157166,beretta"
414,"157583,knocked out"
414,"163455,super powers"
414,"170383,disfigurement"
414,"170652,father figure"
649,"549,prostitute"
649,"596,adultery"
649,"848,double life"
649,"851,dual identity"
649,"931,jealousy"
649,"1157,wife husband relationship"
649,"1411,brothel"
649,"1566,dream"
649,"2316,women's sexual identity"
649,"2486,fantasy"
649,"3260,masochism"
649,"10183,independent film"
1873,"5499,burma"
1873,"5855,rangoon"
1873,"13005,doctor"
5894,"919,smoking"
5894,"1901,corner shop"
5894,"3170,cigarette"
5894,"6357,tobacco"
5894,"6458,cigar"
5894,"10183,independent film"
1775,"[]"
8839,"3335,halloween"
8839,"6054,friendship"
8839,"6152,supernatural"
8839,"6155,afterlife"
8839,"9713,friends"
8839,"15017,danger"
8839,"162846,ghost"
8839,"189449,disorder"
8839,"193545,young heroes"
8839,"202322,imaginary"
8839,"206813,supernatural ability"
8839,"206834,mischievous children"
20649,"11505,drug pusher"
20649,"13008,train"
20649,"14964,drug"
20649,"18026,drug lord"
10329,"690,gorilla"
10329,"2521,kongo"
10329,"3379,diamond mine"
10329,"33461,diamond"
8963,"339,submarine"
8963,"1860,mutiny"
8963,"2139,russia"
8963,"2534,missile"
8963,"3312,nuclear missile"
8963,"4123,embassy"
8963,"4410,u.s. navy"
8963,"4933,battle for power"
8963,"6791,torpedo"
8963,"162365,military"
8963,"198423,moral dilemma"
8963,"217133,post cold war"
8963,"221092,aircraft carrier"
8963,"226740,chain of command"
8963,"226741,launch code"
8963,"226742,sonar"
26564,"1353,underground"
26564,"5565,biography"
26564,"14893,art"
8068,"75,gunslinger"
8068,"139,anti terror"
8068,"502,ambush"
8068,"534,mexico"
8068,"797,showdown"
8068,"953,guitar"
8068,"2483,nudity"
8068,"2708,hitman"
8068,"3458,bartender"
8068,"9748,revenge"
8068,"10044,tragic hero"
8068,"10950,shootout"
8068,"14575,mariachi"
8068,"14601,explosion"
8068,"14687,extreme violence"
8068,"14707,brutality"
8068,"18026,drug lord"
8068,"41372,leg brace"
8068,"154889,concealed weapon"
8068,"187844,flashback"
8068,"226790,bookstore"
8512,"5823,jazz club"
8512,"9826,murder"
8512,"12670,los angeles"
8512,"155790,private detective"
8512,"195402,film noir"
8512,"207268,neo-noir"
1572,"258,bomb"
1572,"444,taxi"
1572,"483,riddle"
1572,"642,robbery"
1572,"703,detective"
1572,"720,helicopter"
1572,"1321,gold"
1572,"1552,subway"
1572,"3799,ship"
1572,"5572,fistfight"
1572,"6149,police"
1572,"9663,sequel"
1572,"9758,deception"
1572,"10950,shootout"
1572,"14512,new york city"
1572,"14601,explosion"
1572,"14819,violence"
1572,"15483,car chase"
1572,"18525,fbi agent"
1572,"177309,simon says"
1572,"187844,flashback"
1572,"188329,dump truck"
1572,"192707,aqueduct"
1572,"219404,action hero"
1572,"226838,federal reserve bank"
13552,"572,sex"
13552,"1664,eroticism"
13552,"2483,nudity"
13552,"2652,nazis"
13552,"9937,suspense"
13552,"13017,drifter"
